qa_level,check,status,detail
1,input exists: data/input/aws_region_pue_wue_2022_2025.csv,PASS,Required package input is present.
1,input hash: data/input/aws_region_pue_wue_2022_2025.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/google_location_water_2022_2025.csv,PASS,Required package input is present.
1,input hash: data/input/google_location_water_2022_2025.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/google_locations_aqueduct26.csv,PASS,Required package input is present.
1,input hash: data/input/google_locations_aqueduct26.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/google_reported_source_mix.csv,PASS,Required package input is present.
1,input hash: data/input/google_reported_source_mix.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/mesa_reclaimed_water_management.csv,PASS,Required package input is present.
1,input hash: data/input/mesa_reclaimed_water_management.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/meta_site_water_electricity_2019_2024.csv,PASS,Required package input is present.
1,input hash: data/input/meta_site_water_electricity_2019_2024.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/monthly_cooling_water_intensity.csv,PASS,Required package input is present.
1,input hash: data/input/monthly_cooling_water_intensity.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/source_resolved_case_evidence.csv,PASS,Required package input is present.
1,input hash: data/input/source_resolved_case_evidence.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/usgs/USGS_02336000_Atlanta_GA.csv,PASS,Required package input is present.
1,input hash: data/input/usgs/USGS_02336000_Atlanta_GA.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,PASS,Required package input is present.
1,input hash: data/input/usgs/USGS_06610000_Council_Bluffs_IA.csv,PASS,SHA-256 matches the frozen package manifest.
1,input exists: data/input/usgs/USGS_12117500_Seattle_WA.csv,PASS,Required package input is present.
1,input hash: data/input/usgs/USGS_12117500_Seattle_WA.csv,PASS,SHA-256 matches the frozen package manifest.
