source_id,organization_or_authors,year,title,source_type,primary_url,source_locator,variables_supported,retrieved_or_accessed,archived_source_sha256,verification_status,scientific_boundary
GOOGLE_ENV_2023,Google,2023,2023 Environmental Report,operator report,https://sustainability.google/reports/google-2023-environmental-report/,"printed p. 95, Water use by data center location","FY2022 location withdrawal, discharge, consumption and selected source splits",2026-09-05 archive audit,111780cb32516f4541ca7078e9efcf0602579c4bd345f56dad608fbcd92a1c15,verified against archived report,Operator disclosure; consumption is operator-estimated.
GOOGLE_ENV_2024,Google,2024,Google 2024 Environmental Report,operator report,https://sustainability.google/reports/google-2024-environmental-report/,"printed p. 79, Water use by data center location","FY2023 location withdrawal, discharge, consumption and selected source splits",2026-09-05 archive audit,29ade2be2f75e33b94e88fc676a31aaaab205e4ae7f146bc284c57d93d858645,verified against archived report,Operator disclosure; consumption is operator-estimated.
GOOGLE_ENV_2025,Google,2025,Google 2025 Environmental Report,operator report,https://sustainability.google/reports/google-2025-environmental-report/,"printed p. 114, Water use by data center location","FY2024 location withdrawal, discharge, consumption and selected source splits",2026-09-05 archive audit,00bf26d9a1899c6d034e9b6f8ba8943dc3902e177038921283c74936264c5c10,verified with one documented source inconsistency,The aggregate Other locations row prints consumption 786.9 MG although withdrawal minus discharge is 768.9 MG; printed value retained and excluded from named-location consumption analyses.
GOOGLE_ENV_2026,Google,2026,Google 2026 Environmental Report,operator report,https://sustainability.google/google-2026-environmental-report/,"printed p. 97, Water use by data center location; endnote 224 on p. 116","FY2025 location withdrawal, discharge, estimated consumption, cooling notes and source splits",2026-09-05 archive audit,6a23a6db212d5d7da8d887e773e98e78ee16b98eaf8d627a4e31f98b6f487ca3,verified against archived report,Location values may represent campuses; endnote states withdrawals are potable unless specified.
META_EDI_2024,Meta,2024,2024 Environmental Data Index,operator report,https://sustainability.atmeta.com/resources/,printed p. 29 electricity; printed p. 32 water,FY2019-FY2023 site electricity and water,2026-09-05 archive audit,2b36549ca82f0cbbf2b922f34755b53212a5bbdcc26ae055d42295d67f83ff64,verified against archived report,"Electricity is total-facility, not IT electricity; derived ratio is not WUE."
META_EDI_2025,Meta,2025,Meta 2025 Environmental Data Index,operator report,https://sustainability.atmeta.com/wp-content/uploads/2025/10/Meta_2025-Environmental-Data-Index.pdf,printed p. 6 electricity; printed p. 9 water,FY2020-FY2024 site electricity and water,2026-09-05 archive audit,d7527cd23308869105b404b486117603bb3f5ee10e30499367f8698110afb66d,verified against archived report,"Electricity is total-facility, not IT electricity; derived ratio is not WUE."
AWS_CLOUD_2026,Amazon Web Services,2026,AWS Cloud Sustainability: PUE and WUE,operator webpage,https://sustainability.aboutamazon.com/products-services/aws-cloud?waterType=true,regional PUE and WUE table archived 2026-09-05,"regional PUE and withdrawal WUE, FY2022-FY2025 where disclosed",2026-09-05,dcd8edfdb38503f39a7497f2dccd9adeb8072773c066514592303683b5819e4e,verified against archived official webpage,Only matched years and regions are compared; WUE uses IT-energy denominator.
WRI_AQUEDUCT_4,Kuzma et al.; World Resources Institute,2023,Aqueduct 4.0: Updated Decision-Relevant Global Water Risk Indicators,screening dataset and methods,https://doi.org/10.46830/writn.23.00061,baseline annual indicators; baseline period 1979-2019,baseline water stress screen at reported locality centroids,2026-09-05,bd3ed2bce88d6ff1b89191632ad134a2436e1e1d49599382f23a04d513624fc3,verified against WRI archive and methods,"Prioritization screen, not facility-source attribution or local impact assessment."
USGS_02336000,U.S. Geological Survey,n.d.,"USGS 02336000 Chattahoochee River at Atlanta, Georgia",daily hydrological observations,https://waterdata.usgs.gov/monitoring-location/USGS-02336000/,"daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",Atlanta source-component discharge,retrieved 2026-08-20,,"10,958 dates, station and units revalidated",Managed source-component flow is not available water or facility allocation.
USGS_12117500,U.S. Geological Survey,n.d.,"USGS 12117500 Cedar River near Landsburg, Washington",daily hydrological observations,https://waterdata.usgs.gov/monitoring-location/USGS-12117500/,"daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",Seattle Cedar source-component discharge,retrieved 2026-08-20,,"10,958 dates, station and units revalidated","Gauge is approximately 1.8 miles upstream of the intake; it is a component screen, not facility allocation."
USGS_06610000,U.S. Geological Survey,n.d.,"USGS 06610000 Missouri River at Omaha, Nebraska",daily hydrological observations,https://waterdata.usgs.gov/monitoring-location/USGS-06610000/,"daily mean discharge, parameter 00060, 1995-10-01 through 2025-09-30",Council Bluffs Missouri River source-family discharge,retrieved 2026-08-20,,"10,958 dates, station and units revalidated","Gauge is downstream and does not resolve river/alluvium shares, managed availability, rights or ecological effects."
LEI_MASANET_2022,Lei and Masanet,2022,Climate- and technology-specific PUE and WUE estimations for U.S. data centers using a hybrid statistical and thermodynamics-based approach,peer-reviewed model,https://doi.org/10.1016/j.resconrec.2022.106323,methods and archived central scenario vector,cooling architecture equations and parameters,verified 2026-09-05,,DOI and model archive verified,"Central is a named parameter vector, not an arithmetic midpoint."
ENERGYPLUS_TMY3_ATLANTA,U.S. Department of Energy EnergyPlus,archived,Atlanta Hartsfield-Jackson TMY3 weather file,weather input,https://energyplus.net/weather,USA_GA_Atlanta-Hartsfield-Jackson.Intl.AP.722190_TMY3.epw,hourly Atlanta weather for cooling model,frozen project archive,,local archive retained,"Typical meteorological year, not observed 1996-2025 daily weather."
ENERGYPLUS_TMY3_SEATTLE,U.S. Department of Energy EnergyPlus,archived,Seattle-Tacoma TMY3 weather file,weather input,https://energyplus.net/weather,USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3.epw,hourly Seattle weather for cooling model,frozen project archive,,local archive retained,"Typical meteorological year, not observed 1996-2025 daily weather."
ENERGYPLUS_TMY3_CHICAGO,U.S. Department of Energy EnergyPlus,archived,Chicago O'Hare TMY3 weather file,weather input,https://energyplus.net/weather,USA_IL_Chicago-OHare.Intl.AP.725300_TMY3.epw,hourly proxy weather for Council Bluffs cooling model,frozen project archive,,local archive retained,Declared climate proxy; not local observed Council Bluffs weather.
MESA_OPEN_DATA_2026,City of Mesa Water Resources,2026,Reclaimed Water Management PUBLIC,municipal open dataset,https://data.mesaaz.gov/d/5zhe-5nig,dataset 5zhe-5nig; retrieved 2026-08-22,"daily municipal reuse, recharge, exchange and return pathways",2026-08-22,346a7e6d4f7da3fd50a6b243d44149cf5113eb6c46fc7f7bd6cad73a4f16d208,raw file hash and QA gates verified,Municipal pathways are not assigned to individual data centers.
QUINCY_OPS_2020,City of Quincy,2021,2020 Annual Operations Report,municipal operations report,https://quincy.civicweb.net/document/82731/F-2%200803212020%20Quincy%20Annual%20Report_Final.pdf?handle=DDF5AEC43AE84B2EAF0A93EBDE56D987,PDF pp. 3 and 15,254.48 million gallons delivered through reuse system to Microsoft in 2020,2026-08-22,,phrase and value verified on two report pages,Reuse delivery is not freshwater withdrawal or consumption.
EPA_QUINCY_REUSE,U.S. Environmental Protection Agency,2026,"Water Reuse Case Study: Quincy, Washington",government case-study webpage,https://www.epa.gov/waterreuse/water-reuse-case-study-quincy-washington,Project Highlights and Solution sections,138 MG/year potable-demand offset; 260 MG/year canal make-up; 5% potable-groundwater share,2026-08-22,,values verified against official webpage,Metrics have different roles and unspecified or different periods; do not sum into a facility balance.
PHOENIX_WRP_2021,City of Phoenix Water Services Department,2021,2021 Water Resource Plan,utility plan,https://www.phoenix.gov/content/dam/phoenix/waterservicessite/documents/2021_Water_Resource_Plan.pdf,portfolio sections,Phoenix municipal supply portfolio,accessed 2026-09-06,,institutional source verified,Portfolio context only; not allocated to a facility.
SNWA_SOURCES_2026,Southern Nevada Water Authority,2026,Where your water comes from,utility webpage,https://www.snwa.com/water-resources/where-water-comes-from/index.html,source portfolio overview,Colorado River and groundwater sources,accessed 2026-09-06,,institutional source verified,Portfolio context only.
SNWA_WRP_2026,Southern Nevada Water Authority,2026,"2026 Water Resource Plan, Chapter 3",utility plan,https://www.snwa.com/assets/pdf/water-resource-plan-chapter-3-2026.pdf?lang=en,Chapter 3,"allocations, groundwater and return-flow credits",accessed 2026-09-06,,institutional source verified,Managed-system context; a return-path gauge is not a supply denominator.
SAWS_WMP_2025,San Antonio Water System,2025,2025 Water Management Plan,utility plan,https://apps.saws.org/your_water/waterresources/docs/SAWS_2025_Water_Management_Plan_20250812.pdf,source portfolio sections,San Antonio municipal supply portfolio,accessed 2026-09-06,,institutional source verified,Portfolio context only.
