table,row_key,reported_or_derived_fields,value_status,source_ids,source_locators,calculation_or_boundary,analysis_script
Table 1,"Phoenix, AZ",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,PHOENIX_WRP_2021,PHOENIX_WRP_2021: portfolio sections,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Las Vegas, NV",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,SNWA_SOURCES_2026; SNWA_WRP_2026,SNWA_SOURCES_2026: source portfolio overview | SNWA_WRP_2026: Chapter 3,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"San Antonio, TX",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,SAWS_WMP_2025,SAWS_WMP_2025: source portfolio sections,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Dallas-Fort Worth, TX",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,DALLAS_LRWSP_2024,DALLAS_LRWSP_2024: regional supply-system sections,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Atlanta, GA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,ATLANTA_DWM_OVERVIEW,ATLANTA_DWM_OVERVIEW: PDF p. 2,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,Northern Virginia,documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,LOUDOUN_WATER_2026,LOUDOUN_WATER_2026: supply-source overview,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Silicon Valley, CA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,VALLEY_WATER_2026,VALLEY_WATER_2026: water-source overview,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Seattle, WA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,SEATTLE_WSP_2019,SEATTLE_WSP_2019: PDF p. 23; Cedar supplies approximately 60-70%,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"The Dalles, OR",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,DALLES_WQR_2024,DALLES_WQR_2024: source-water section,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
Table 1,"Quincy, WA",documented supply system and gauge relationship,institutionally documented plus bounded study interpretation,QUINCY_OPS_2020; QUINCY_ECOLOGY_2019; EPA_QUINCY_REUSE,QUINCY_OPS_2020: PDF pp. 3 and 15 | QUINCY_ECOLOGY_2019: water-supply and discharge sections | EPA_QUINCY_REUSE: Project Highlights and Solution sections,No facility allocation is inferred from the utility portfolio.,03_build_tables_and_metadata.py
